schema,K,features_used,standardization,source
hierarchical_ward_8,8.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_ward_9,9.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_ward_10,10.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_complete_5,5.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_complete_6,6.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_complete_7,7.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_complete_8,8.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_complete_9,9.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_complete_10,10.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_average_5,5.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_average_6,6.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_average_7,7.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_average_8,8.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_average_9,9.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_average_10,10.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_single_5,5.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_single_6,6.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
